png,name,gender,age,case,murderer
png_0001,Kurosawa to uma,m,60,1,0
png_0002,Sodo chiyon,m,48,1,0
png_0003,Ogata Natsuyo,f,0,1,0
png_0004,Mitsuhiko Busshu,m,18,1,0
png_0005,Saotome Ryoko,f,18,1,0
png_0006,Arimori Yuji,m,17,1,1
png_0007,Kiryuu Harumi,f,17,1,0
png_0008,Hidaka Orie,f,17,1,0
png_0009,Kamiya Shuichiro,m,17,1,0
png_0010,Sendo mine,m,17,1,0
png_0011,Yuki Eisaku,m,42,1,0
png_0012,Son mun,m,0,1,0
png_0013,Kaze matsuri Junya,m,0,2,0
png_0014,To kita Juzo,m,0,2,0
png_0015,Tokita wakaba,f,17,2,0
png_0016,Oda Kirito,m,27,2,1
png_0017,Michitoshi ni,m,0,2,0
png_0018,Pokettomisuto,f,17,2,0
png_0019,Isshiki Torao,m,0,2,0
png_0020,Kusanagi Mitsuko,f,0,2,0
png_0021,Go taramu,f,0,2,0
png_0022,Rensei Hisahiko,m,0,2,0
png_0023,Tawara Kotaro,m,0,2,0
png_0024,Hiruta Masashi,m,40,3,0
png_0025,Gana Rie,f,32,3,0
png_0026,Hayami Reika,f,17,3,0
png_0027,Daimon Yusaku,m,35,3,0
png_0028,Don fanjan,m,21,3,0
png_0029,Kenmei de kenmeina,m,28,3,0
png_0030,Akashi to Hisashi,m,32,3,0
png_0031,Ayatsuji Marina,f,20,3,1
png_0032,Kyoshiro,m,0,3,0
png_0033,Aisurumuwan san,m,0,3,0
png_0034,Baba Yuichiro,m,0,4,1
png_0035,Sakura gi ruriko,f,18,4,0
png_0036,Makabe makoto,m,18,4,0
png_0037,Takashimatomoyo,f,17,4,0
png_0038,Sa ki Ryuta,m,16,4,0
png_0039,Onoue Takahiro,m,17,4,0
png_0040,Tachibana Ryozo,m,50,4,0
png_0041,Kujo Shotaro,m,0,5,0
png_0042,Koda Tadashi saku,m,0,5,0
png_0043,Itsukiyosuke,m,32,5,0
png_0044,Tono eiji,m,18,5,1
png_0045,Kasai Sayuri,f,17,5,0
png_0046,Kayama saburo,m,0,5,0
png_0047,Kayama Seiko,f,0,5,0
png_0048,Kobayashi seiji,m,0,5,0
png_0049,Kurata soichi,m,20,5,0
png_0050,Kikkawashigeru,m,22,5,0
png_0051,Tachibanagoryu,m,50,6,0
png_0052,Kamoshita Akira,m,28,6,0
png_0053,Tsudzuki Tetsuo,m,52,6,1
png_0054,Haryuu seiten,m,40,6,0
png_0055,Nonaka Tomomi,f,26,6,0
png_0056,Kohei Katsura,m,30,6,0
png_0057,Tokito Wataru,m,24,6,0
png_0058,Omura kon,m,40,6,0
png_0059,Hanamura Aoi,f,17,6,0
png_0060,Hanamura Natsume,f,17,6,0
png_0061,Jinma Takeshi,m,17,7,0
png_0062,Okazaki Koji ro,m,17,7,0
png_0063,Morishita remi,f,17,7,1
png_0064,Hirashima Chie,f,17,7,0
png_0065,Iwano Akira,m,22,7,0
png_0066,Hiyama Tatsuyuki,m,20,7,1
png_0067,Nanba Shohei,m,21,7,0
png_0068,Hagimoto Akinori,m,21,7,0
png_0069,Yonemura,m,0,7,0
png_0070,Isaka,m,0,7,0
png_0071,Kono,m,0,7,0
